wilayah_kode,wilayah,tahun,PDRB,Perubahan Inventori,Net Ekspor,Pengeluaran Konsumsi Pemerintah,Pengeluaran Konsumsi LNPRT,Pembentukan Modal Tetap Bruto,Pengeluaran Konsumsi Rumah Tangga
1101,Simeulue,2010,1272.04,6.03,-1296.4,388.63,94.49,1214.84,1492.82
1102,Aceh Singkil,2010,1980.64,4.48,-563.0,1036.79,40.2,783.54,1659.15
1103,Aceh Selatan,2010,7466.23,42.75,-1652.81,705.88,94.06,1472.65,3770.24
1104,Aceh Tenggara,2010,3052.11,-1.68,-1918.73,755.32,182.27,998.02,3309.37
1105,Aceh Timur,2010,7695.12,78.11,156.28,1469.17,316.86,3746.45,5188.22
1106,Aceh Tengah,2010,5071.37,38.08,294.33,1206.23,114.87,1971.23,2891.16
1107,Aceh Barat,2010,7692.48,58.75,-1043.06,1214.88,333.87,2801.5,2148.29
1108,Aceh Besar,2010,9649.74,163.92,-1122.25,1123.77,62.82,5822.26,9042.27
1109,Pidie,2010,11341.39,0.99,-2021.31,1941.34,117.07,1915.36,9438.78
1110,Bireuen,2011,7664.61,-122.93,-999.59,2079.08,180.48,2755.16,9045.84
1111,Aceh Utara,2011,28175.46,183.1,4589.24,3110.01,312.66,7020.4,6670.05
1112,Aceh Barat Daya,2011,3917.42,214.98,-771.54,807.33,48.4,2344.51,1659.65
1113,Gayo Lues,2011,3076.5,0.0,-529.99,747.63,81.68,1129.73,909.44
1114,Aceh Tamiang,2011,10728.75,15.24,-365.27,1269.97,139.72,2728.51,4539.27
1115,Nagan Raya,2011,11871.33,24.44,1152.73,612.43,74.86,2673.3,2609.54
1116,Aceh Jaya,2011,2625.73,34.95,-1114.5,856.73,64.54,1679.86,819.92
1117,Bener Meriah,2011,3802.33,-27.74,-768.98,977.98,138.79,1708.29,1201.19
1118,Pidie Jaya,2011,2049.6,21.28,-1174.02,939.91,60.55,873.28,1360.21
1171,Kota Banda Aceh,2017,10062.08,19.9,-6396.55,8014.47,141.96,3007.28,10868.24
1172,Kota Sabang,2017,1070.08,7.13,-1196.22,653.27,64.24,1070.09,754.87
1173,Kota Langsa,2017,3874.63,-2.12,-1390.65,1018.73,45.98,2197.13,2912.92
1174,Kota Lhokseumawe,2017,11848.24,61.16,-1493.85,1365.35,123.0,2836.22,4284.17
1175,Kota Subulussalam,2017,1295.11,-29.82,-934.53,528.0,56.03,568.77,1118.98
1201,Nias,2020,3519.07,4.92,-1611.68,762.59,102.84,665.29,4704.38
1202,Mandailing Natal,2020,13843.0,450.35,-1349.94,1177.46,216.92,2892.31,8072.53
1203,Tapanuli Selatan,2020,8757.77,317.73,976.13,1489.12,194.27,1548.08,6845.71
1204,Tapanuli Tengah,2020,6952.47,370.71,96.8,1020.09,157.42,2408.24,7973.97
1205,Tapanuli Utara,2020,5855.61,170.37,-811.91,1058.49,183.13,1617.97,6654.54
1206,Toba Samosir,2020,7161.59,55.64,324.58,635.42,75.38,837.91,2608.98
1207,Labuhan Batu,2020,16378.79,693.94,7157.96,935.74,279.01,7740.7,6600.25
1208,Asahan,2020,46575.32,461.25,1995.23,2210.39,409.8,3774.84,20849.6
1209,Simalungun,2020,30122.88,249.9,2359.33,3086.79,341.64,6535.88,11254.85
1210,Dairi,2021,8560.78,80.58,-66.75,970.3,103.98,2188.83,2705.46
1211,Karo,2021,9231.18,732.72,-219.41,1042.98,302.09,4479.67,6371.11
1212,Deli Serdang,2021,61061.85,2587.19,389.68,3942.81,387.33,13885.71,35068.82
1213,Langkat,2021,27875.25,724.09,34.9,2393.61,541.77,8576.62,26598.11
1214,Nias Selatan,2021,6861.48,408.12,-3114.65,1941.05,185.78,1300.22,2516.44
1215,Humbang Hasundutan,2021,6123.46,27.38,-48.55,1240.13,86.32,1666.89,1418.87
1216,Pakpak Bharat,2021,1270.71,7.52,-199.66,194.99,11.6,390.22,495.93
1217,Samosir,2021,6100.41,133.86,-142.15,458.18,79.29,279.96,2038.2
1218,Serdang Bedagai,2021,42012.01,644.85,297.15,2614.53,234.93,4047.75,9327.55
1219,Batu Bara,2021,34047.85,589.54,6446.01,1825.91,143.09,8783.42,19100.55
1220,Padang Lawas Utara,2022,6756.27,86.45,91.94,1023.51,100.84,3950.83,4992.91
1221,Padang Lawas,2022,7288.06,39.87,4543.0,565.63,92.18,3610.34,3552.86
1222,Labuhan Batu Selatan,2022,30754.13,1024.0,5619.6,505.79,142.72,8648.72,15503.17
1223,Labuhan Batu Utara,2022,21161.68,411.09,9578.14,548.21,234.54,3069.4,9144.78
1224,Nias Utara,2022,1840.58,87.92,-358.31,565.73,61.16,1098.0,1660.62
1225,Nias Barat,2022,1673.31,59.68,-843.28,295.12,53.54,523.96,988.26
1271,Kota Sibolga,2021,4262.85,70.13,231.93,684.92,116.36,1253.52,3345.03
1272,Kota Tanjung Balai,2010,3480.52,167.87,-268.32,479.37,56.63,1123.14,1921.82
1272,Kota Tanjung Balai,2011,3900.48,105.9,-218.37,550.1,60.75,1270.2,2131.9
1272,Kota Tanjung Balai,2012,4326.38,119.48,-331.98,622.76,65.61,1457.21,2393.29
1272,Kota Tanjung Balai,2013,4855.84,123.17,-369.52,693.17,71.67,1672.48,2664.86
1272,Kota Tanjung Balai,2014,5439.08,213.6,-551.34,763.4,78.69,1931.79,3002.95
1272,Kota Tanjung Balai,2015,6051.92,228.69,-459.21,820.07,82.09,2088.34,3291.94
1272,Kota Tanjung Balai,2016,6722.59,172.62,-251.17,834.18,90.57,2269.4,3607.01
1272,Kota Tanjung Balai,2017,7424.96,177.62,-167.81,886.18,95.57,2456.9,3976.51
1272,Kota Tanjung Balai,2018,8175.69,239.28,-184.03,946.84,107.63,2706.91,4359.06
1272,Kota Tanjung Balai,2019,8951.45,256.14,-80.2,957.73,119.82,2972.91,4725.05
1272,Kota Tanjung Balai,2020,9180.54,323.92,105.15,905.8,120.53,2956.59,4768.55
1272,Kota Tanjung Balai,2021,9632.7,357.2,256.83,900.88,125.14,3065.78,4926.88
1272,Kota Tanjung Balai,2022,10466.14,414.77,424.5,941.98,131.8,3150.13,5402.96
1272,Kota Tanjung Balai,2023,11209.49,187.13,377.68,1056.66,156.75,3418.77,6012.5
1272,Kota Tanjung Balai,2024,12207.74,136.49,519.94,1088.04,177.81,3692.7,6592.76
1273,Kota Pematang Siantar,2010,5929.88,221.41,-70.19,672.36,154.61,1429.02,3522.68
1273,Kota Pematang Siantar,2011,6741.29,96.75,42.46,766.76,181.18,1660.26,3993.88
1273,Kota Pematang Siantar,2012,7523.32,203.95,-115.32,857.07,191.04,1885.59,4500.99
1273,Kota Pematang Siantar,2013,8487.29,184.19,-5.89,984.68,208.9,2127.26,4988.15
1273,Kota Pematang Siantar,2014,9555.16,275.68,-13.95,1105.44,228.67,2344.39,5614.93
1273,Kota Pematang Siantar,2015,10566.33,334.19,-60.88,1221.32,255.32,2603.46,6212.93
