KODE_PEMDA,NAMA_PEMDA,NAMA_PROVINSI,NAMA_PULAU,JUMLAH_BELANJA_PEGAWAI,JUMLAH_PENDUDUK,LUAS_DARATAN,LUAS_LAUTAN,LUAS_WILAYAH,IKK,IPM,PDRB_PER_KAPITA,PAD,DBH_PAJAK,DBH_SDA,ALOKASI_DAU,ALOKASI_DAU_APBNP,APBD_PENDAPATAN,APBD_BELANJA,APBD_PEMBIAYAAN,TKDD_TOTAL,TKDD_DBH,TKDD_DAU,TKDD_DAKFISIK,TKDD_DAKNONFISIK,TKDD_DID,TKDD_OTSUS,TKDD_DAIS,TKDD_DANADESA
1_1,Kab. Aceh Barat,Provinsi Aceh,Sumatera,311569763534,195634,"2927,95","363,51","3291,46","94,78","70,47","34098994,92",150499049236,13877807354,15994469124,592496466000,525004445000,1279939577086,1279939577086,55000000000,803969660000,250632328000,543825941000,139941416000,77555929000,7148713000,,,250632328000
1_2,Kab. Aceh Besar,Provinsi Aceh,Sumatera,425368208170,391987,2969,"1649,64","4618,64","97,35","72,73","29844845,18",159480163138,13593001718,3773053009,759343544000,680085735000,1745798454746,1745798454746,10000000000,1046623207000,437555848000,746906382000,106372046000,139972130000,38384703000,,,437555848000
1_3,Kab. Aceh Selatan,Provinsi Aceh,Sumatera,366362658482,235381,"3841,6","1284,21","5125,81","95,81","65,92","20926771,62",32923827547,11261304493,3973118474,673781136000,597029876000,1443111259750,1443111259750,80481929105,859847660000,205268050000,595672666000,124434559000,119227898000,9103430000,,,205268050000
1_4,Kab. Aceh Singkil,Provinsi Aceh,Sumatera,182863485562,126636,2185,"2709,27","4894,27","102,56","68,02","16860963,17",45289515137,13482013051,3680887777,462186825000,409538540000,784586159712,784586159712,9274000000,631579979000,108080283000,406195945000,131121662000,55231302000,25827190000,,,108080283000
1_5,Kab. Aceh Tengah,Provinsi Aceh,Sumatera,331107519872,214377,"4318,39",0,"4318,39","101,46","72,64","32887315,66",150818710372,10418230537,4236453222,630127576000,558348948000,1259186166010,1259186166010,7600000000,802315059000,223350548000,565358454000,87542987000,94458493000,42865889000,,,223350548000
1_6,Kab. Aceh Tenggara,Provinsi Aceh,Sumatera,310506139708,225606,"4231,43",0,"4231,43","97,98","68,67","19826788,8",80263476272,8606740512,3553182577,607495235000,538294686000,1219443625975,1219443625975,8427405055,755648939000,284561253000,539367761000,111674007000,87792474000,8055037000,,,284561253000
1_7,Kab. Aceh Timur,Provinsi Aceh,Sumatera,480808983354,422964,"6286,01","839,01","7125,02","99,16","66,82","20895554,01",169455864158,32007950528,16791089295,832279343000,737473352000,1744222564714,1744222564714,10821931239,1065065851000,387787938000,759513864000,120853127000,133455890000,17979983000,,,387787938000
1_8,Kab. Aceh Utara,Provinsi Aceh,Sumatera,628801450278,585592,"3236,86","383,67","3620,53","99,11","68,36","23469378,66",231848856926,96473023759,40787003000,918726998000,822833263000,2465550549072,2465550549072,55215085924,1353878360000,626338212000,882657786000,133089649000,250642115000,28920030000,,,626338212000
1_9,Kab. Bireuen,Provinsi Aceh,Sumatera,512037117724,439572,"1901,2","493,8",2395,"102,72","71,37","26653575,54",179476248778,13614101639,3540745774,838049362000,750576496000,1854981250920,1854981250920,6186554010,1157691240000,455523085000,801251152000,151941007000,163903764000,27803658000,,,455523085000
1_10,Kab. Pidie,Provinsi Aceh,Sumatera,511814859224,441133,"3086,95","436,11","3523,06","97,82","69,93","21206623,73",237201958016,11616418206,3942006662,829204015000,742654398000,2048808845734,2048808845734,1000000000,1108578987000,524715756000,823251463000,128593580000,144520355000,,,,524715756000
1_11,Kab. Simeulue,Provinsi Aceh,Sumatera,183068468426,93442,"2051,48","3568,54","5620,02","107,67","64,74","21542124,16",63146021911,8347313987,3553142386,476616530000,422324539000,845068423184,845068423184,37504247720,546270363000,119684330000,419029638000,76624915000,42068337000,,,,119684330000
1_12,Kota Banda Aceh,Provinsi Aceh,Sumatera,273722698658,245184,"61,36","86,84","148,2","103,99","84,37","70523174,88",246272150485,36334696132,3540745774,605014830000,547629398000,1255284843145,1255284843145,12800000000,727604500000,77702442000,539238114000,70250103000,75242544000,10998041000,,,77702442000
