wilayah_kode,wilayah,tahun,nilai,kode_prov
1300,SUMATERA BARAT,2023,73.75,13
1400,RIAU,2023,74.04,14
1500,JAMBI,2023,72.77,15
1600,SUMATERA SELATAN,2023,71.62,16
1700,BENGKULU,2023,72.78,17
1800,LAMPUNG,2023,71.15,18
1900,KEP. BANGKA BELITUNG,2023,72.85,19
2100,KEPULAUAN RIAU,2023,77.11,21
3100,DKI JAKARTA,2023,82.46,31
3200,JAWA BARAT,2023,73.74,32
3300,JAWA TENGAH,2023,73.39,33
3400,D I YOGYAKARTA,2023,81.07,34
3500,JAWA TIMUR,2023,73.38,35
3600,BANTEN,2023,73.87,36
5100,BALI,2023,77.1,51
5200,NUSA TENGGARA BARAT,2023,70.2,52
5300,NUSA TENGGARA TIMUR,2023,66.68,53
6100,KALIMANTAN BARAT,2023,69.41,61
6200,KALIMANTAN TENGAH,2023,72.2,62
6300,KALIMANTAN SELATAN,2023,72.5,63
6400,KALIMANTAN TIMUR,2023,78.2,64
6500,KALIMANTAN UTARA,2023,72.49,65
7100,SULAWESI UTARA,2023,74.36,71
7200,SULAWESI TENGAH,2023,70.95,72
7300,SULAWESI SELATAN,2023,73.46,73
7400,SULAWESI TENGGARA,2023,72.79,74
7500,GORONTALO,2023,70.45,75
7600,SULAWESI BARAT,2023,67.55,76
8100,MALUKU,2023,70.94,81
8200,MALUKU UTARA,2023,70.21,82
9100,PAPUA BARAT,2023,66.16,91
9200,PAPUA BARAT DAYA,2023,68.05,92
9400,PAPUA,2023,72.41,94
9500,PAPUA SELATAN,2023,67.27,95
9600,PAPUA TENGAH,2023,58.93,96
9700,PAPUA PEGUNUNGAN,2023,52.45,97
