kode_wilayah;wilayah;tahun;value
7600;SULAWESI BARAT;2024;68.2
3500;JAWA TIMUR;2024;74.09
9700;PAPUA PEGUNUNGAN;2024;53.42
1800;LAMPUNG;2024;71.81
6100;KALIMANTAN BARAT;2024;70.13
7200;SULAWESI TENGAH;2024;71.56
1400;RIAU;2024;74.79
3200;JAWA BARAT;2024;74.43
3600;BANTEN;2024;74.48
1600;SUMATERA SELATAN;2024;72.3
5200;NUSA TENGGARA BARAT;2024;70.93
8200;MALUKU UTARA;2024;71.03
2100;KEPULAUAN RIAU;2024;77.97
5100;BALI;2024;77.76
6300;KALIMANTAN SELATAN;2024;73.03
3400;D I YOGYAKARTA;2024;81.55
9600;PAPUA TENGAH;2024;59.75
7300;SULAWESI SELATAN;2024;74.05
6500;KALIMANTAN UTARA;2024;73.02
3100;DKI JAKARTA;2024;83.08
7100;SULAWESI UTARA;2024;75.03
9400;PAPUA;2024;73.0
9500;PAPUA SELATAN;2024;67.9
7400;SULAWESI TENGGARA;2024;73.48
9200;PAPUA BARAT DAYA;2024;68.63
6200;KALIMANTAN TENGAH;2024;72.73
9100;PAPUA BARAT;2024;67.02
7500;GORONTALO;2024;71.23
5300;NUSA TENGGARA TIMUR;2024;67.39
1100;ACEH;2024;74.03
1700;BENGKULU;2024;73.39
1500;JAMBI;2024;73.43
6400;KALIMANTAN TIMUR;2024;78.83
1900;KEP. BANGKA BELITUNG;2024;73.33
8100;MALUKU;2024;71.57
1300;SUMATERA BARAT;2024;74.49
3300;JAWA TENGAH;2024;73.88
1200;SUMATERA UTARA;2024;74.02
